fecha,plataforma,menciones,sentimiento,likes,shares,comentarios,id_producto
2024-01-01,TikTok,129,Positivo,946,91,62,502
2024-01-01,Facebook,198,Positivo,398,347,96,525
2024-01-01,Twitter,188,Neutral,174,441,33,546
2024-01-01,TikTok,27,Positivo,929,332,14,505
2024-01-01,Facebook,1,Neutral,160,101,97,539
2024-01-01,Instagram,60,Neutral,305,304,45,523
2024-01-01,Facebook,104,Neutral,863,317,62,522
2024-01-01,Instagram,187,Negativo,316,269,30,508
2024-01-01,TikTok,26,Negativo,172,293,78,551
2024-01-01,TikTok,151,Negativo,166,318,50,504
2024-01-01,TikTok,134,Negativo,285,151,99,523
2024-01-01,Instagram,115,Positivo,432,232,94,545
2024-01-01,TikTok,98,Positivo,452,217,42,511
2024-01-01,Twitter,105,Negativo,863,456,78,509
2024-01-01,TikTok,187,Neutral,216,418,63,546
2024-01-01,Twitter,101,Positivo,937,241,13,511
2024-01-01,TikTok,144,Negativo,97,237,91,530
2024-01-01,TikTok,69,Positivo,205,345,89,527
2024-01-01,Instagram,93,Negativo,666,171,66,527
2024-01-01,Facebook,64,Negativo,872,30,60,516
2024-01-01,TikTok,110,Neutral,97,194,26,516
2024-01-01,Instagram,35,Positivo,107,228,77,526
2024-01-01,Facebook,35,Negativo,462,86,82,522
2024-01-01,TikTok,81,Positivo,68,347,8,514
2024-01-01,Facebook,196,Positivo,491,129,22,508
2024-01-02,Twitter,38,Positivo,414,6,89,541
2024-01-02,Facebook,172,Neutral,652,492,94,551
2024-01-02,TikTok,196,Neutral,969,271,26,529
2024-01-02,Facebook,194,Negativo,458,81,52,539
2024-01-02,Twitter,178,Negativo,91,344,66,530
2024-01-02,Facebook,115,Positivo,236,374,53,508
2024-01-02,Instagram,127,Neutral,224,450,38,546
2024-01-02,Twitter,6,Positivo,617,196,16,520
2024-01-02,Facebook,165,Positivo,732,16,35,527
2024-01-02,Instagram,195,Positivo,196,310,9,538
2024-01-02,Instagram,163,Neutral,175,33,55,543
2024-01-02,Twitter,188,Negativo,548,138,81,510
2024-01-02,Facebook,194,Negativo,249,55,54,503
2024-01-02,Facebook,97,Neutral,524,221,39,548
2024-01-02,TikTok,33,Positivo,202,469,83,548
2024-01-02,Instagram,182,Negativo,657,442,92,517
2024-01-02,Twitter,164,Neutral,853,203,39,522
2024-01-02,Twitter,3,Negativo,957,477,63,524
2024-01-02,Instagram,56,Negativo,511,260,100,520
2024-01-02,TikTok,167,Neutral,94,353,47,509
