id_venta,fecha,id_cliente,id_producto,id_sucursal,cantidad,precio_unitario,total,descuento,metodo_pago
1,2024-01-01,418,525,4,6,590.88,3545.2799999999997,0,Tarjeta
2,2024-01-01,345,541,2,9,654.57,5596.5734999999995,5,Tarjeta
3,2024-01-01,336,531,1,4,25.48,101.92,0,Tarjeta
4,2024-01-01,285,521,3,9,961.56,8654.039999999999,0,Efectivo
5,2024-01-01,372,520,1,9,525.63,4730.67,0,Transferencia
6,2024-01-01,540,539,4,6,609.9,3659.3999999999996,0,Transferencia
7,2024-01-01,336,522,2,5,846.09,4230.45,0,Transferencia
8,2024-01-01,339,504,2,3,834.86,2504.58,0,Tarjeta
9,2024-01-01,477,513,3,5,843.86,4219.3,0,Tarjeta
10,2024-01-01,366,545,2,3,104.46,313.38,0,Transferencia
11,2024-01-01,514,542,2,5,915.81,4579.049999999999,0,Efectivo
12,2024-01-01,509,550,2,5,281.97,1409.8500000000001,0,Tarjeta
13,2024-01-02,459,549,2,2,595.38,1190.76,0,Efectivo
14,2024-01-02,440,520,2,9,525.63,4494.1365,5,Transferencia
15,2024-01-02,489,513,4,7,843.86,5907.02,0,Tarjeta
16,2024-01-02,165,517,1,6,730.0,4380.0,0,Efectivo
17,2024-01-02,578,536,5,5,206.85,1034.25,0,Tarjeta
18,2024-01-02,277,533,2,4,400.93,1603.72,0,Transferencia
19,2024-01-02,103,501,5,8,248.62,1988.96,0,Transferencia
20,2024-01-02,529,515,5,2,401.2,682.04,15,Transferencia
21,2024-01-02,242,513,4,8,843.86,6075.792,10,Efectivo
22,2024-01-02,476,517,2,1,730.0,693.5,5,Tarjeta
23,2024-01-02,258,524,5,1,544.3,489.86999999999995,10,Tarjeta
24,2024-01-02,598,508,2,3,757.81,2273.43,0,Tarjeta
25,2024-01-02,424,550,3,5,281.97,1409.8500000000001,0,Transferencia
26,2024-01-02,246,527,3,6,610.96,3482.472,5,Efectivo
27,2024-01-02,546,545,3,4,104.46,417.84,0,Transferencia
28,2024-01-02,393,523,5,7,749.85,4724.055,10,Transferencia
29,2024-01-02,253,546,3,7,377.11,2507.7815,5,Efectivo
30,2024-01-02,532,508,4,2,757.81,1288.2769999999998,15,Transferencia
31,2024-01-03,293,508,4,2,757.81,1515.62,0,Transferencia
32,2024-01-03,537,526,5,2,965.6,1834.6399999999999,5,Tarjeta
33,2024-01-03,594,547,2,2,672.15,1344.3,0,Efectivo
34,2024-01-03,563,513,1,9,843.86,7594.74,0,Efectivo
35,2024-01-03,173,539,2,5,609.9,3049.5,0,Tarjeta
36,2024-01-03,499,537,2,8,714.23,5428.148,5,Efectivo
37,2024-01-03,405,549,2,5,595.38,2679.21,10,Tarjeta
38,2024-01-03,477,528,2,5,283.24,1416.2,0,Transferencia
39,2024-01-03,444,525,1,1,590.88,590.88,0,Efectivo
40,2024-01-03,552,516,3,6,927.39,5564.34,0,Efectivo
41,2024-01-03,240,502,2,4,686.43,2333.8619999999996,15,Transferencia
42,2024-01-03,287,518,4,3,333.28,999.8399999999999,0,Transferencia
43,2024-01-03,393,517,5,6,730.0,4380.0,0,Efectivo
44,2024-01-04,161,530,5,2,173.61,347.22,0,Efectivo
45,2024-01-04,585,539,4,8,609.9,4879.2,0,Efectivo
46,2024-01-04,527,513,2,1,843.86,843.86,0,Tarjeta
47,2024-01-04,480,532,1,9,429.17,3862.53,0,Efectivo
48,2024-01-04,298,550,3,8,281.97,2030.1840000000002,10,Efectivo
49,2024-01-04,395,529,5,1,303.31,272.979,10,Transferencia
50,2024-01-04,540,546,3,9,377.11,3393.9900000000002,0,Transferencia
51,2024-01-04,419,530,1,2,173.61,295.137,15,Tarjeta
52,2024-01-04,402,518,5,3,333.28,999.8399999999999,0,Transferencia
53,2024-01-04,444,513,3,2,843.86,1687.72,0,Efectivo
54,2024-01-04,111,543,1,8,851.54,6812.32,0,Efectivo
55,2024-01-04,162,521,3,2,961.56,1923.12,0,Tarjeta
56,2024-01-04,433,530,2,2,173.61,329.85900000000004,5,Transferencia
57,2024-01-04,326,521,1,1,961.56,961.56,0,Transferencia
58,2024-01-04,253,548,3,7,669.26,4684.82,0,Transferencia
59,2024-01-05,299,517,2,2,730.0,1387.0,5,Tarjeta
60,2024-01-05,152,540,2,5,927.04,4635.2,0,Transferencia
61,2024-01-05,360,519,1,5,574.74,2730.015,5,Transferencia
62,2024-01-05,159,515,4,3,401.2,1143.4199999999998,5,Transferencia
63,2024-01-05,172,509,5,3,430.9,1292.6999999999998,0,Efectivo
64,2024-01-05,248,510,1,3,215.86,582.822,10,Tarjeta
65,2024-01-05,449,544,2,6,454.96,2729.7599999999998,0,Efectivo
66,2024-01-05,163,531,2,4,25.48,101.92,0,Tarjeta
67,2024-01-05,410,523,1,3,749.85,2249.55,0,Transferencia
68,2024-01-05,473,530,4,2,173.61,347.22,0,Efectivo
69,2024-01-05,343,533,5,3,400.93,1022.3715,15,Transferencia
70,2024-01-05,593,509,3,4,430.9,1723.6,0,Transferencia
71,2024-01-05,466,547,1,6,672.15,4032.8999999999996,0,Tarjeta
72,2024-01-06,430,501,5,4,248.62,895.032,10,Transferencia
73,2024-01-06,207,544,5,8,454.96,3639.68,0,Efectivo
74,2024-01-06,326,535,2,3,23.94,71.82000000000001,0,Tarjeta
75,2024-01-06,413,511,3,3,572.02,1716.06,0,Tarjeta
76,2024-01-06,318,534,1,3,300.55,856.5675,5,Efectivo
77,2024-01-06,525,516,2,8,927.39,7419.12,0,Transferencia
78,2024-01-06,341,509,2,4,430.9,1723.6,0,Transferencia
79,2024-01-06,359,532,4,1,429.17,429.17,0,Transferencia
80,2024-01-06,476,515,5,2,401.2,802.4,0,Transferencia
81,2024-01-06,362,512,1,2,41.0,77.89999999999999,5,Transferencia
82,2024-01-06,105,533,1,3,400.93,1202.79,0,Tarjeta
83,2024-01-06,361,545,1,6,104.46,626.76,0,Tarjeta
84,2024-01-06,154,514,2,8,455.26,3642.08,0,Efectivo
85,2024-01-06,147,508,4,1,757.81,719.9195,5,Transferencia
86,2024-01-06,315,508,3,9,757.81,6479.275499999999,5,Transferencia
87,2024-01-06,277,527,2,1,610.96,610.96,0,Transferencia
88,2024-01-06,109,512,3,2,41.0,82.0,0,Efectivo
89,2024-01-06,199,501,4,3,248.62,745.86,0,Transferencia
90,2024-01-07,120,543,5,7,851.54,5960.78,0,Tarjeta
91,2024-01-07,478,540,1,9,927.04,8343.36,0,Transferencia
92,2024-01-07,341,542,3,3,915.81,2747.43,0,Efectivo
93,2024-01-07,161,511,2,8,572.02,4576.16,0,Tarjeta
94,2024-01-07,479,539,3,9,609.9,4940.19,10,Tarjeta
95,2024-01-07,590,543,5,7,851.54,5960.78,0,Tarjeta
96,2024-01-07,519,531,1,4,25.48,96.824,5,Transferencia
97,2024-01-07,278,517,3,4,730.0,2920.0,0,Efectivo
98,2024-01-07,438,533,5,4,400.93,1443.348,10,Efectivo
99,2024-01-07,162,532,2,6,429.17,2575.02,0,Transferencia
100,2024-01-07,245,529,4,4,303.31,1213.24,0,Efectivo
101,2024-01-07,316,521,2,5,961.56,4327.0199999999995,10,Tarjeta
102,2024-01-07,103,521,1,9,961.56,8654.039999999999,0,Tarjeta
103,2024-01-08,260,540,2,7,927.04,6489.28,0,Efectivo
104,2024-01-08,327,523,2,8,749.85,5998.8,0,Efectivo
105,2024-01-08,586,506,2,5,397.15,1886.4624999999999,5,Transferencia
106,2024-01-08,369,522,2,5,846.09,4230.45,0,Transferencia
107,2024-01-08,220,550,1,7,281.97,1776.4110000000003,10,Transferencia
108,2024-01-08,481,538,5,8,792.27,6338.16,0,Transferencia
109,2024-01-08,595,537,3,9,714.23,6428.07,0,Transferencia
110,2024-01-08,189,545,4,2,104.46,208.92,0,Transferencia
111,2024-01-08,429,508,3,3,757.81,2273.43,0,Tarjeta
112,2024-01-08,168,541,3,2,654.57,1309.14,0,Efectivo
113,2024-01-08,498,549,4,7,595.38,4167.66,0,Transferencia
114,2024-01-08,457,535,1,2,23.94,47.88,0,Tarjeta
115,2024-01-09,198,511,4,2,572.02,1144.04,0,Efectivo
116,2024-01-09,367,524,1,2,544.3,1088.6,0,Efectivo
117,2024-01-09,205,549,3,4,595.38,2262.444,5,Efectivo
118,2024-01-09,540,521,1,1,961.56,913.4819999999999,5,Transferencia
119,2024-01-09,423,502,5,2,686.43,1304.2169999999999,5,Transferencia
120,2024-01-09,223,540,4,3,927.04,2781.12,0,Transferencia
121,2024-01-09,576,519,5,7,574.74,3620.8620000000005,10,Efectivo
122,2024-01-09,129,539,3,1,609.9,609.9,0,Efectivo
123,2024-01-09,237,528,4,6,283.24,1699.44,0,Tarjeta
124,2024-01-09,295,517,3,3,730.0,2080.5,5,Tarjeta
125,2024-01-09,509,506,5,3,397.15,1072.3049999999998,10,Tarjeta
126,2024-01-09,326,519,3,4,574.74,2298.96,0,Tarjeta
127,2024-01-09,432,538,4,4,792.27,3169.08,0,Efectivo
128,2024-01-09,270,528,4,7,283.24,1982.68,0,Transferencia
129,2024-01-09,109,502,3,3,686.43,2059.29,0,Transferencia
130,2024-01-09,563,538,4,8,792.27,5704.344,10,Transferencia
131,2024-01-09,140,537,4,8,714.23,5713.84,0,Transferencia
132,2024-01-09,125,504,3,7,834.86,5551.819,5,Tarjeta
133,2024-01-09,361,522,5,2,846.09,1692.18,0,Efectivo
134,2024-01-10,495,526,4,5,965.6,4586.599999999999,5,Transferencia
135,2024-01-10,543,549,4,6,595.38,3215.0519999999997,10,Efectivo
136,2024-01-10,326,543,4,4,851.54,3406.16,0,Tarjeta
137,2024-01-10,572,536,4,5,206.85,1034.25,0,Tarjeta
138,2024-01-10,224,513,3,9,843.86,7215.003,5,Transferencia
139,2024-01-10,563,532,5,7,429.17,3004.19,0,Transferencia
140,2024-01-10,138,517,5,2,730.0,1460.0,0,Tarjeta
141,2024-01-10,428,541,1,1,654.57,654.57,0,Tarjeta
142,2024-01-10,351,536,4,2,206.85,413.7,0,Efectivo
143,2024-01-10,489,546,4,3,377.11,1074.7634999999998,5,Tarjeta
144,2024-01-10,276,519,1,2,574.74,1149.48,0,Efectivo
145,2024-01-10,190,535,5,3,23.94,64.638,10,Tarjeta
146,2024-01-10,502,546,2,9,377.11,3393.9900000000002,0,Efectivo
147,2024-01-10,554,540,2,4,927.04,3522.7519999999995,5,Tarjeta
148,2024-01-10,137,528,5,9,283.24,2549.16,0,Tarjeta
149,2024-01-10,416,501,4,3,248.62,745.86,0,Efectivo
